MinNormIw,Bound,AvgNormIw,AvgVanillaIw,VarVanillaIw,eRenyi2,Delta,ESSRenyi,J,MinVanillaIw,VanillaAvgRet,BatchSize,AvgEpLen,AvgDiscRet,MaxNormIw,IterType,VarNormIw,ESSClassic,VarRet,VarJ,AvgRet,EpsThisIter,MaxVanillaIw,VarDiscRet
0.0025,4933.642,0.0024999997,1.0,,1.0,0.95,500.0,4990.996,1.0,4999.56903709568,500,500.0,4999.56903709568,0.0025,2,5.434597e-20,400.0,0.18731903558472715,169.34062,4999.56903709568,100,1.0,0.18731903558472715
0.0003972559,4944.8267,0.0019999999,1.0001324,0.054305166,1.0591762,0.95,472.06498492855496,4997.6216,0.19865426,4999.563766776116,500,500.0,4999.563766776116,0.002782473,1,2.1716316e-07,474.3012926208272,0.1964035759864502,42.04247,4999.563766776116,100,1.3914208,0.1964035759864502
0.01,4884.798,0.009999998,1.0,,1.0,0.95,500.0,4999.506,1.0,4999.506504802944,500,500.0,4999.506504802944,0.01,2,3.5044917e-18,100.0,0.24042838799366464,0.48785317,4999.506504802944,100,1.0,0.24042838799366464
0.005,4918.4116,0.0049999994,1.0,,1.0,0.95,500.0,4999.5225,1.0,4999.538869998602,500,500.0,4999.538869998602,0.005,2,2.179301e-19,200.00000010221265,0.27449200897097437,0.50511,4999.538869998602,100,1.0,0.27449200897097437
0.0033333334,4933.306,0.0033333336,1.0,,1.0,0.95,500.0,4999.5327,1.0,4999.551783122411,500,500.0,4999.551783122411,0.0033333334,2,5.4391416e-20,299.999969473632,0.18137397585495818,0.47972617,4999.551783122411,100,1.0,0.18137397585495818
0.0025,4942.1826,0.0024999997,1.0,,1.0,0.95,500.0,4999.5366,1.0,4999.5488100865,500,500.0,4999.5488100865,0.0025,2,5.434597e-20,400.0,0.3092952582594711,0.49920726,4999.5488100865,100,1.0,0.3092952582594711
0.002,4948.2075,0.0020000003,1.0,,1.0,0.95,500.0,4999.5063,1.0,4999.383384603309,500,500.0,4999.383384603309,0.002,1,5.431875e-20,500.00000664260017,0.3706765501798613,0.52584106,4999.383384603309,100,1.0,0.3706765501798613
0.01,4884.7866,0.009999998,1.0,,1.0,0.95,500.0,4999.4946,1.0,4999.49496591517,500,500.0,4999.49496591517,0.01,2,3.5044917e-18,100.0,0.2225776492898428,0.46939716,4999.49496591517,100,1.0,0.2225776492898428
0.005,4918.389,0.0049999994,1.0,,1.0,0.95,500.0,4999.5,1.0,4999.504160492362,500,500.0,4999.504160492362,0.005,2,2.179301e-19,200.00000010221265,0.24426831502565255,0.48072624,4999.504160492362,100,1.0,0.24426831502565255
0.0033333334,4933.2544,0.0033333336,1.0,,1.0,0.95,500.0,4999.481,1.0,4999.442531960481,500,500.0,4999.442531960481,0.0033333334,2,5.4391416e-20,299.999969473632,0.3211472602987405,0.51064855,4999.442531960481,100,1.0,0.3211472602987405
0.0025,4942.1196,0.0024999997,1.0,,1.0,0.95,500.0,4999.4736,1.0,4999.452085784744,500,500.0,4999.452085784744,0.0025,2,5.434597e-20,400.0,0.26536713564483266,0.51127994,4999.452085784744,100,1.0,0.26536713564483266
0.0019883034,4948.1797,0.002,1.0000854,3.0374488e-06,1.000003,0.95,499.9985098883215,4999.4785,0.99423647,4999.492400305267,500,500.0,4999.492400305267,0.0020091382,1,1.2147703e-11,499.99849931243824,0.2514245795022205,0.508367,4999.492400305267,100,1.0046549,0.2514245795022205
0.01,4884.7036,0.009999998,1.0,,1.0,0.95,500.0,4999.4116,1.0,4999.411983062236,500,500.0,4999.411983062236,0.01,2,3.5044917e-18,100.0,0.28023157485595923,0.52673924,4999.411983062236,100,1.0,0.28023157485595923
0.005,4918.341,0.0049999994,1.0,,1.0,0.95,500.0,4999.4517,1.0,4999.491608336932,500,500.0,4999.491608336932,0.005,2,2.179301e-19,200.00000010221265,0.2729146993149785,0.5247935,4999.491608336932,100,1.0,0.2729146993149785
0.0033333334,4933.2007,0.0033333336,1.0,,1.0,0.95,500.0,4999.4272,1.0,4999.377666996428,500,500.0,4999.377666996428,0.0033333334,2,5.4391416e-20,299.999969473632,0.4026973838882376,0.56367,4999.377666996428,100,1.0,0.4026973838882376
0.0025,4942.111,0.0024999997,1.0,,1.0,0.95,500.0,4999.465,1.0,4999.575335517188,500,500.0,4999.575335517188,0.0025,2,5.434597e-20,400.0,0.18935074759962597,0.5378467,4999.575335517188,100,1.0,0.18935074759962597
0.002,4948.174,0.0020000003,1.0,,1.0,0.95,500.0,4999.4727,1.0,4999.503373938294,500,500.0,4999.503373938294,0.002,1,5.431875e-20,500.00000664260017,0.23508128296950132,0.5274603,4999.503373938294,100,1.0,0.23508128296950132
0.01,4884.817,0.009999998,1.0,,1.0,0.95,500.0,4999.525,1.0,4999.524914961888,500,500.0,4999.524914961888,0.01,2,3.5044917e-18,100.0,0.21400883969529746,0.460297,4999.524914961888,100,1.0,0.21400883969529746
0.005,4918.3813,0.0049999994,1.0,,1.0,0.95,500.0,4999.492,1.0,4999.459414299289,500,500.0,4999.459414299289,0.005,2,2.179301e-19,200.00000010221265,0.30558864637114547,0.50821644,4999.459414299289,100,1.0,0.30558864637114547
0.0033333334,4933.2827,0.0033333336,1.0,,1.0,0.95,500.0,4999.5093,1.0,4999.5435563571245,500,500.0,4999.5435563571245,0.0033333334,2,5.4391416e-20,299.999969473632,0.23175658629665705,0.4992605,4999.5435563571245,100,1.0,0.23175658629665705
0.0025,4942.1333,0.0024999997,1.0,,1.0,0.95,500.0,4999.4873,1.0,4999.42151468913,500,500.0,4999.42151468913,0.0025,2,5.434597e-20,400.0,0.2739272781070782,0.506148,4999.42151468913,100,1.0,0.2739272781070782
0.002,4948.187,0.0020000003,1.0,,1.0,0.95,500.0,4999.486,1.0,4999.476455876332,500,500.0,4999.476455876332,0.002,1,5.431875e-20,500.00000664260017,0.24046933989771135,0.5025731,4999.476455876332,100,1.0,0.24046933989771135
0.01,4884.7583,0.009999998,1.0,,1.0,0.95,500.0,4999.4663,1.0,4999.466440062715,500,500.0,4999.466440062715,0.01,2,3.5044917e-18,100.0,0.2935489622743836,0.5390834,4999.466440062715,100,1.0,0.2935489622743836
0.005,4918.3984,0.0049999994,1.0,,1.0,0.95,500.0,4999.5093,1.0,4999.552670324873,500,500.0,4999.552670324873,0.005,2,2.179301e-19,200.00000010221265,0.2188804721161976,0.5054952,4999.552670324873,100,1.0,0.2188804721161976
0.0033333334,4933.2744,0.0033333336,1.0,,1.0,0.95,500.0,4999.501,1.0,4999.483510962014,500,500.0,4999.483510962014,0.0033333334,2,5.4391416e-20,299.999969473632,0.39133250166367717,0.54738986,4999.483510962014,100,1.0,0.39133250166367717
0.0025,4942.1167,0.0024999997,1.0,,1.0,0.95,500.0,4999.4707,1.0,4999.379515474188,500,500.0,4999.379515474188,0.0025,2,5.434597e-20,400.0,0.35235224736862336,0.5609782,4999.379515474188,100,1.0,0.35235224736862336
0.002,4948.184,0.0020000003,1.0,,1.0,0.95,500.0,4999.483,1.0,4999.530913717578,500,500.0,4999.530913717578,0.002,1,5.431875e-20,500.00000664260017,0.2262896096873957,0.5451109,4999.530913717578,100,1.0,0.2262896096873957
0.01,4877.2754,0.009999998,1.0,,1.0,0.95,500.0,4991.9834,1.0,4991.9838515944,500,499.26,4991.9838515944,0.01,2,3.5044917e-18,100.0,5630.49709773563,74.660484,4991.9838515944,100,1.0,5630.49709773563
0.005,4914.6045,0.0049999994,1.0,,1.0,0.95,500.0,4995.7153,1.0,4999.446372993548,500,500.0,4999.446372993548,0.005,2,2.179301e-19,200.00000010221265,0.2438296154219882,52.925774,4999.446372993548,100,1.0,0.2438296154219882
0.0033333334,4930.774,0.0033333336,1.0,,1.0,0.95,500.0,4997.0005,1.0,4999.570387533,500,500.0,4999.570387533,0.0033333334,2,5.4391416e-20,299.999969473632,0.1979904363912627,43.25267,4999.570387533,100,1.0,0.1979904363912627
0.0025,4940.2617,0.0024999997,1.0,,1.0,0.95,500.0,4997.6157,1.0,4999.46322619697,500,500.0,4999.46322619697,0.0025,2,5.434597e-20,400.0,0.27846575100619075,37.47401,4999.46322619697,100,1.0,0.27846575100619075
0.0005679153,4947.3193,0.0019999999,0.9889104,0.015729787,1.0132033,0.95,493.4843955989653,4998.9556,0.2808087,4999.564298828119,500,500.0,4999.564298828119,0.0023020473,1,6.43382e-08,492.1006531281751,0.18786976227352806,12.227828,4999.564298828119,100,1.1382593,0.18786976227352806
0.01,4884.823,0.009999998,1.0,,1.0,0.95,500.0,4999.5312,1.0,4999.530741395469,500,500.0,4999.530741395469,0.01,2,3.5044917e-18,100.0,0.2364561319023784,0.48380944,4999.530741395469,100,1.0,0.2364561319023784
0.005,4918.393,0.0049999994,1.0,,1.0,0.95,500.0,4999.504,1.0,4999.4781466340355,500,500.0,4999.4781466340355,0.005,2,2.179301e-19,200.00000010221265,0.2730189666895073,0.50287116,4999.4781466340355,100,1.0,0.2730189666895073
0.0033333334,4933.2593,0.0033333336,1.0,,1.0,0.95,500.0,4999.486,1.0,4999.446679159775,500,500.0,4999.446679159775,0.0033333334,2,5.4391416e-20,299.999969473632,0.32813954844914023,0.52689195,4999.446679159775,100,1.0,0.32813954844914023
0.0025,4942.1343,0.0024999997,1.0,,1.0,0.95,500.0,4999.4883,1.0,4999.498243803868,500,500.0,4999.498243803868,0.0025,2,5.434597e-20,400.0,0.272024473429788,0.5249398,4999.498243803868,100,1.0,0.272024473429788
0.002,4948.188,0.0020000003,1.0,,1.0,0.95,500.0,4999.487,1.0,4999.477582023382,500,500.0,4999.477582023382,0.002,1,5.431875e-20,500.00000664260017,0.3078050601383786,0.53048766,4999.477582023382,100,1.0,0.3078050601383786
0.01,4884.797,0.009999998,1.0,,1.0,0.95,500.0,4999.505,1.0,4999.505121417744,500,500.0,4999.505121417744,0.01,2,3.5044917e-18,100.0,0.30563233062352035,0.55007845,4999.505121417744,100,1.0,0.30563233062352035
0.005,4918.356,0.0049999994,1.0,,1.0,0.95,500.0,4999.467,1.0,4999.428589095437,500,500.0,4999.428589095437,0.005,2,2.179301e-19,200.00000010221265,0.3203423111590913,0.5579607,4999.428589095437,100,1.0,0.3203423111590913
0.0033333334,4933.238,0.0033333336,1.0,,1.0,0.95,500.0,4999.4644,1.0,4999.458347177994,500,500.0,4999.458347177994,0.0033333334,2,5.4391416e-20,299.999969473632,0.24528118562473059,0.5371245,4999.458347177994,100,1.0,0.24528118562473059
0.0025,4942.1084,0.0024999997,1.0,,1.0,0.95,500.0,4999.4624,1.0,4999.458114298246,500,500.0,4999.458114298246,0.0025,2,5.434597e-20,400.0,0.320260133798948,0.5437341,4999.458114298246,100,1.0,0.320260133798948
0.002,4948.1636,0.0020000003,1.0,,1.0,0.95,500.0,4999.4624,1.0,4999.458467936406,500,500.0,4999.458467936406,0.002,1,5.431875e-20,500.00000664260017,0.22956349852141492,0.5310135,4999.458467936406,100,1.0,0.22956349852141492
0.01,4884.8423,0.009999998,1.0,,1.0,0.95,500.0,4999.5503,1.0,4999.550899179038,500,500.0,4999.550899179038,0.01,2,3.5044917e-18,100.0,0.17950127564960247,0.42156002,4999.550899179038,100,1.0,0.17950127564960247
0.005,4917.93,0.0049999994,1.0,,1.0,0.95,500.0,4999.041,1.0,4998.530995317544,500,499.92,4998.530995317544,0.005,2,2.179301e-19,200.00000010221265,81.24783236234383,6.3691792,4998.530995317544,100,1.0,81.24783236234383
0.0033333334,4932.961,0.0033333336,1.0,,1.0,0.95,500.0,4999.1875,1.0,4999.481421388607,500,500.0,4999.481421388607,0.0033333334,2,5.4391416e-20,299.999969473632,0.24845701781232835,5.212428,4999.481421388607,100,1.0,0.24845701781232835
0.0025,4941.9146,0.0024999997,1.0,,1.0,0.95,500.0,4999.2686,1.0,4999.51052393054,500,500.0,4999.51052393054,0.0025,2,5.434597e-20,400.0,0.23462467890862446,4.5226817,4999.51052393054,100,1.0,0.23462467890862446
0.0012263508,4948.054,0.002,1.0006164,0.0013183585,1.0012181,0.95,499.3917006972165,4999.3843,0.6135534,4999.498052241016,500,500.0,4999.498052241016,0.0020735983,1,5.266938e-09,499.3437400852537,0.2908680002303902,2.518184,4999.498052241016,100,1.0374383,0.2908680002303902
0.01,4884.795,0.009999998,1.0,,1.0,0.95,500.0,4999.503,1.0,4999.503210375465,500,500.0,4999.503210375465,0.01,2,3.5044917e-18,100.0,0.24048068332991632,0.48791108,4999.503210375465,100,1.0,0.24048068332991632
0.005,4918.366,0.0049999994,1.0,,1.0,0.95,500.0,4999.477,1.0,4999.450023128225,500,500.0,4999.450023128225,0.005,2,2.179301e-19,200.00000010221265,0.29213869132161785,0.5141513,4999.450023128225,100,1.0,0.29213869132161785
0.0033333334,4933.269,0.0033333336,1.0,,1.0,0.95,500.0,4999.4956,1.0,4999.531791220939,500,500.0,4999.531791220939,0.0033333334,2,5.4391416e-20,299.999969473632,0.21704502746923152,0.49853924,4999.531791220939,100,1.0,0.21704502746923152
0.0025,4942.1514,0.0024999997,1.0,,1.0,0.95,500.0,4999.5054,1.0,4999.537196983781,500,500.0,4999.537196983781,0.0025,2,5.434597e-20,400.0,0.21066806827397036,0.48875472,4999.537196983781,100,1.0,0.21066806827397036
0.002,4948.1875,0.0020000003,1.0,,1.0,0.95,500.0,4999.4863,1.0,4999.407317123862,500,500.0,4999.407317123862,0.002,1,5.431875e-20,500.00000664260017,0.2712212644197123,0.4963405,4999.407317123862,100,1.0,0.2712212644197123
0.01,4884.7354,0.009999998,1.0,,1.0,0.95,500.0,4999.4434,1.0,4999.443760715822,500,500.0,4999.443760715822,0.01,2,3.5044917e-18,100.0,0.242546791455444,0.49001917,4999.443760715822,100,1.0,0.242546791455444
0.005,4918.357,0.0049999994,1.0,,1.0,0.95,500.0,4999.468,1.0,4999.49257979957,500,500.0,4999.49257979957,0.005,2,2.179301e-19,200.00000010221265,0.29627513318074866,0.5170286,4999.49257979957,100,1.0,0.29627513318074866
0.0033333334,4933.246,0.0033333336,1.0,,1.0,0.95,500.0,4999.4727,1.0,4999.48189647938,500,500.0,4999.48189647938,0.0033333334,2,5.4391416e-20,299.999969473632,0.22746143527262788,0.5033003,4999.48189647938,100,1.0,0.22746143527262788
0.0025,4942.145,0.0024999997,1.0,,1.0,0.95,500.0,4999.499,1.0,4999.579361866071,500,500.0,4999.579361866071,0.0025,2,5.434597e-20,400.0,0.17381695239134992,0.4849087,4999.579361866071,100,1.0,0.17381695239134992
0.0019878221,4948.2144,0.0019999999,1.0001125,3.8759817e-06,1.000003,0.95,499.9985098883215,4999.513,0.9940229,4999.563229654198,500,500.0,4999.563229654198,0.002014756,1,1.550044e-11,499.99808413325854,0.22108588024053713,0.48179,4999.563229654198,100,1.0074914,0.22108588024053713
0.01,4884.73,0.009999998,1.0,,1.0,0.95,500.0,4999.438,1.0,4999.438050114481,500,500.0,4999.438050114481,0.01,2,3.5044917e-18,100.0,0.25183071576036314,0.49929714,4999.438050114481,100,1.0,0.25183071576036314
0.005,4918.3613,0.0049999994,1.0,,1.0,0.95,500.0,4999.472,1.0,4999.506455393289,500,500.0,4999.506455393289,0.005,2,2.179301e-19,200.00000010221265,0.23133031940808382,0.4902364,4999.506455393289,100,1.0,0.23133031940808382
0.0033333334,4933.271,0.0033333336,1.0,,1.0,0.95,500.0,4999.4976,1.0,4999.547856745687,500,500.0,4999.547856745687,0.0033333334,2,5.4391416e-20,299.999969473632,0.19978068407132135,0.4768835,4999.547856745687,100,1.0,0.19978068407132135
0.0025,4942.129,0.0024999997,1.0,,1.0,0.95,500.0,4999.483,1.0,4999.439334713936,500,500.0,4999.439334713936,0.0025,2,5.434597e-20,400.0,0.32090017907237167,0.50062,4999.439334713936,100,1.0,0.32090017907237167
0.0019996474,4948.177,0.002,1.0000011,3.0849479e-09,1.0,0.95,500.0,4999.4756,0.99982476,4999.44163030284,500,500.0,4999.44163030284,0.0020003435,1,1.2339328e-14,499.9999110863862,0.23627270315446847,0.49753386,4999.44163030284,100,1.0001729,0.23627270315446847
0.01,4884.8037,0.009999998,1.0,,1.0,0.95,500.0,4999.5117,1.0,4999.511924104379,500,500.0,4999.511924104379,0.01,2,3.5044917e-18,100.0,0.25046164873994825,0.49797016,4999.511924104379,100,1.0,0.25046164873994825
0.005,4918.4155,0.0049999994,1.0,,1.0,0.95,500.0,4999.5264,1.0,4999.541377549242,500,500.0,4999.541377549242,0.005,2,2.179301e-19,200.00000010221265,0.25401215093300483,0.49994183,4999.541377549242,100,1.0,0.25401215093300483
0.0033333334,4933.323,0.0033333336,1.0,,1.0,0.95,500.0,4999.55,1.0,4999.595068440768,500,500.0,4999.595068440768,0.0033333334,2,5.4391416e-20,299.999969473632,0.22047329916657188,0.4903285,4999.595068440768,100,1.0,0.22047329916657188
0.0025,4942.1807,0.0024999997,1.0,,1.0,0.95,500.0,4999.5347,1.0,4999.491823301777,500,500.0,4999.491823301777,0.0025,2,5.434597e-20,400.0,0.23714940275832333,0.4895221,4999.491823301777,100,1.0,0.23714940275832333
0.0019949446,4948.2397,0.002,1.0000415,7.2706933e-07,1.0000007,0.95,499.99964237238714,4999.5386,0.9975138,4999.547689381354,500,500.0,4999.547689381354,0.0020052027,1,2.9080273e-12,499.999628645488,0.21378683676940557,0.4835466,4999.547689381354,100,1.002643,0.21378683676940557
0.01,4884.7744,0.009999998,1.0,,1.0,0.95,500.0,4999.4824,1.0,4999.482253322185,500,500.0,4999.482253322185,0.01,2,3.5044917e-18,100.0,0.27229380319902047,0.51920915,4999.482253322185,100,1.0,0.27229380319902047
0.005,4917.1245,0.0049999994,1.0,,1.0,0.95,500.0,4998.2354,1.0,4996.989344597562,500,499.76,4996.989344597562,0.005,2,2.179301e-19,200.00000010221265,627.1799017579815,17.667551,4996.989344597562,100,1.0,627.1799017579815
0.0033333334,4932.4473,0.0033333336,1.0,,1.0,0.95,500.0,4998.674,1.0,4999.548835101063,500,500.0,4999.548835101063,0.0033333334,2,5.4391416e-20,299.999969473632,0.2138321318695606,14.441212,4999.548835101063,100,1.0,0.2138321318695606
0.0025,4941.5396,0.0024999997,1.0,,1.0,0.95,500.0,4998.8936,1.0,4999.5526194016475,500,500.0,4999.5526194016475,0.0025,2,5.434597e-20,400.0,0.2087488080536323,12.514314,4999.5526194016475,100,1.0,0.2087488080536323
0.0014919535,4947.78,0.0020000003,1.001134,0.0020506207,1.0020419,0.95,498.98111254254087,4999.131,0.7468227,4999.445677213161,500,500.0,4999.445677213161,0.0021198203,1,8.183912e-09,498.98107508200195,0.311638672830489,8.364341,4999.445677213161,100,1.0611122,0.311638672830489
0.01,4884.7026,0.009999998,1.0,,1.0,0.95,500.0,4999.4106,1.0,4999.410932934005,500,500.0,4999.410932934005,0.01,2,3.5044917e-18,100.0,0.26963792544352905,0.5166779,4999.410932934005,100,1.0,0.26963792544352905
0.005,4918.2964,0.0049999994,1.0,,1.0,0.95,500.0,4999.407,1.0,4999.4034811720885,500,500.0,4999.4034811720885,0.005,2,2.179301e-19,200.00000010221265,0.284693307757625,0.52383655,4999.4034811720885,100,1.0,0.284693307757625
0.0033333334,4933.2095,0.0033333336,1.0,,1.0,0.95,500.0,4999.436,1.0,4999.49302325383,500,500.0,4999.49302325383,0.0033333334,2,5.4391416e-20,299.999969473632,0.25354616954855214,0.51793045,4999.49302325383,100,1.0,0.25354616954855214
0.0025,4942.0986,0.0024999997,1.0,,1.0,0.95,500.0,4999.4526,1.0,4999.50280429884,500,500.0,4999.50280429884,0.0025,2,5.434597e-20,400.0,0.2461513030511243,0.5127904,4999.50280429884,100,1.0,0.2461513030511243
0.0019841348,4948.161,0.002,0.999944,5.098865e-06,1.0000039,0.95,499.99803305446017,4999.46,0.9920118,4999.4841271972455,500,500.0,4999.4841271972455,0.0020151718,1,2.0397732e-11,499.9973735465695,0.25454319399941855,0.51043975,4999.4841271972455,100,1.0075295,0.25454319399941855
0.01,4884.8154,0.009999998,1.0,,1.0,0.95,500.0,4999.5234,1.0,4999.52351028695,500,500.0,4999.52351028695,0.01,2,3.5044917e-18,100.0,0.19903169866079062,0.44390932,4999.52351028695,100,1.0,0.19903169866079062
0.005,4918.411,0.0049999994,1.0,,1.0,0.95,500.0,4999.522,1.0,4999.520611918124,500,500.0,4999.520611918124,0.005,2,2.179301e-19,200.00000010221265,0.22598539368345455,0.45869297,4999.520611918124,100,1.0,0.22598539368345455
0.0033333334,4930.989,0.0033333336,1.0,,1.0,0.95,500.0,4997.2153,1.0,4992.601554130764,500,499.32,4992.601554130764,0.0033333334,2,5.4391416e-20,299.999969473632,4804.304703262372,39.952526,4992.601554130764,100,1.0,4804.304703262372
0.0025,4940.4316,0.0024999997,1.0,,1.0,0.95,500.0,4997.7856,1.0,4999.496821354949,500,500.0,4999.496821354949,0.0025,2,5.434597e-20,400.0,0.20918996745713558,34.614754,4999.496821354949,100,1.0,0.20918996745713558
0.0009411919,4947.296,0.0019999999,0.99778503,0.010435372,1.0102965,0.95,494.90423636347975,4998.8584,0.4695536,4999.450816647364,500,500.0,4999.450816647364,0.002258955,1,4.192702e-08,494.82377610378865,0.29399136371291695,14.59562,4999.450816647364,100,1.1269758,0.29399136371291695
0.01,4884.753,0.009999998,1.0,,1.0,0.95,500.0,4999.461,1.0,4999.460802067403,500,500.0,4999.460802067403,0.01,2,3.5044917e-18,100.0,0.21111306737102944,0.4571694,4999.460802067403,100,1.0,0.21111306737102944
0.005,4918.349,0.0049999994,1.0,,1.0,0.95,500.0,4999.46,1.0,4999.459133587884,500,500.0,4999.459133587884,0.005,2,2.179301e-19,200.00000010221265,0.39800750600612317,0.549102,4999.459133587884,100,1.0,0.39800750600612317
0.0033333334,4933.2476,0.0033333336,1.0,,1.0,0.95,500.0,4999.474,1.0,4999.501904164099,500,500.0,4999.501904164099,0.0033333334,2,5.4391416e-20,299.999969473632,0.23274186311947817,0.527451,4999.501904164099,100,1.0,0.23274186311947817
0.0025,4942.1255,0.0024999997,1.0,,1.0,0.95,500.0,4999.4795,1.0,4999.496613239756,500,500.0,4999.496613239756,0.0025,2,5.434597e-20,400.0,0.21907198584794624,0.5128042,4999.496613239756,100,1.0,0.21907198584794624
0.0019880526,4948.179,0.002,0.9999487,2.8601933e-06,1.0000025,0.95,499.9987483055932,4999.478,0.9939753,4999.466052108694,500,500.0,4999.466052108694,0.0020056933,1,1.1441929e-11,499.9985760521803,0.22811212608309053,0.50495505,4999.466052108694,100,1.0027951,0.22811212608309053
0.01,4884.778,0.009999998,1.0,,1.0,0.95,500.0,4999.486,1.0,4999.486298547481,500,500.0,4999.486298547481,0.01,2,3.5044917e-18,100.0,0.20137501784534445,0.4464994,4999.486298547481,100,1.0,0.20137501784534445
0.005,4918.4077,0.0049999994,1.0,,1.0,0.95,500.0,4999.5186,1.0,4999.5512052536415,500,500.0,4999.5512052536415,0.005,2,2.179301e-19,200.00000010221265,0.2416079242254336,0.4693802,4999.5512052536415,100,1.0,0.2416079242254336
0.0033333334,4933.268,0.0033333336,1.0,,1.0,0.95,500.0,4999.4946,1.0,4999.44580276385,500,500.0,4999.44580276385,0.0033333334,2,5.4391416e-20,299.999969473632,0.22399932293495553,0.4711458,4999.44580276385,100,1.0,0.22399932293495553
0.0025,4942.1343,0.0024999997,1.0,,1.0,0.95,500.0,4999.4883,1.0,4999.469169855466,500,500.0,4999.469169855466,0.0025,2,5.434597e-20,400.0,0.31703663091393136,0.49503958,4999.469169855466,100,1.0,0.31703663091393136
0.0019517377,4948.195,0.002,0.999723,4.600847e-05,1.0000389,0.95,499.9805696409103,4999.4946,0.9755986,4999.511594992369,500,500.0,4999.511594992369,0.0020334744,1,1.8413597e-10,499.97712994169876,0.21989036009370558,0.4877332,4999.511594992369,100,1.0164555,0.21989036009370558
0.01,4884.6943,0.009999998,1.0,,1.0,0.95,500.0,4999.4023,1.0,4999.402375671955,500,500.0,4999.402375671955,0.01,2,3.5044917e-18,100.0,0.4011000683153872,0.63016623,4999.402375671955,100,1.0,0.4011000683153872
0.005,4918.3115,0.0049999994,1.0,,1.0,0.95,500.0,4999.4224,1.0,4999.4423182027795,500,500.0,4999.4423182027795,0.005,2,2.179301e-19,200.00000010221265,0.3050136194989691,0.5915503,4999.4423182027795,100,1.0,0.3050136194989691
0.0033333334,4933.211,0.0033333336,1.0,,1.0,0.95,500.0,4999.4375,1.0,4999.468055128649,500,500.0,4999.468055128649,0.0033333334,2,5.4391416e-20,299.999969473632,0.23954925204602812,0.5592818,4999.468055128649,100,1.0,0.23954925204602812
0.0025,4929.594,0.0024999997,1.0,,1.0,0.95,500.0,4986.948,1.0,4949.481640316725,500,495.01,4949.481640316725,0.0025,2,5.434597e-20,400.0,249947.98180074198,249.66034,4949.481640316725,100,1.0,249947.98180074198
0.00039710986,4940.672,0.0019999999,1.0130905,0.078345805,1.0781908,0.95,463.7398115101741,4993.9385,0.20115411,4999.574488376035,500,500.0,4999.574488376035,0.0033946056,1,3.0533693e-07,464.60560591357506,0.166498075539455,123.11196,4999.574488376035,100,1.7195213,0.166498075539455
0.01,4884.747,0.009999998,1.0,,1.0,0.95,500.0,4999.455,1.0,4999.455120916234,500,500.0,4999.455120916234,0.01,2,3.5044917e-18,100.0,0.23356874364148744,0.48087528,4999.455120916234,100,1.0,0.23356874364148744
0.005,4918.36,0.0049999994,1.0,,1.0,0.95,500.0,4999.4707,1.0,4999.486263081786,500,500.0,4999.486263081786,0.005,2,2.179301e-19,200.00000010221265,0.23599221305302123,0.48236763,4999.486263081786,100,1.0,0.23599221305302123
0.0033333334,4933.2476,0.0033333336,1.0,,1.0,0.95,500.0,4999.474,1.0,4999.480720634682,500,500.0,4999.480720634682,0.0033333334,2,5.4391416e-20,299.999969473632,0.21784088018506223,0.47647756,4999.480720634682,100,1.0,0.21784088018506223
0.0025,4942.1226,0.0024999997,1.0,,1.0,0.95,500.0,4999.4766,1.0,4999.482532731222,500,500.0,4999.482532731222,0.0025,2,5.434597e-20,400.0,0.2285150887784714,0.47628236,4999.482532731222,100,1.0,0.2285150887784714
0.0019614424,4948.185,0.002,0.99981844,1.9004945e-05,1.0000188,0.95,499.990582643502,4999.4844,0.98054314,4999.509786414833,500,500.0,4999.509786414833,0.0020235912,1,7.604744e-11,499.9905593062092,0.23311715011451148,0.47661364,4999.509786414833,100,1.0116118,0.23311715011451148
0.01,4884.742,0.009999998,1.0,,1.0,0.95,500.0,4999.45,1.0,4999.450530253087,500,500.0,4999.450530253087,0.01,2,3.5044917e-18,100.0,0.3165538153639333,0.5598078,4999.450530253087,100,1.0,0.3165538153639333
0.005,4918.3423,0.0049999994,1.0,,1.0,0.95,500.0,4999.453,1.0,4999.456201806057,500,500.0,4999.456201806057,0.005,2,2.179301e-19,200.00000010221265,0.2897498770646962,0.54783255,4999.456201806057,100,1.0,0.2897498770646962
0.0033333334,4933.215,0.0033333336,1.0,,1.0,0.95,500.0,4999.4414,1.0,4999.419150250196,500,500.0,4999.419150250196,0.0033333334,2,5.4391416e-20,299.999969473632,0.28353008667316293,0.54213256,4999.419150250196,100,1.0,0.28353008667316293
0.0025,4942.0806,0.0024999997,1.0,,1.0,0.95,500.0,4999.4346,1.0,4999.412588000409,500,500.0,4999.412588000409,0.0025,2,5.434597e-20,400.0,0.491339983931442,0.58497596,4999.412588000409,100,1.0,0.491339983931442
0.002,4948.145,0.0020000003,1.0,,1.0,0.95,500.0,4999.444,1.0,4999.4804830468165,500,500.0,4999.4804830468165,0.002,1,5.431875e-20,500.00000664260017,0.28399489001837086,0.57474005,4999.4804830468165,100,1.0,0.28399489001837086
0.01,4884.7725,0.009999998,1.0,,1.0,0.95,500.0,4999.4805,1.0,4999.480940045944,500,500.0,4999.480940045944,0.01,2,3.5044917e-18,100.0,0.23020178252557658,0.47737712,4999.480940045944,100,1.0,0.23020178252557658
